Ordinal,Nickname,Year,Make,Model,Car Division,Spec,Region,Country
3289,L. Aventador '18,2018,Lamborghini,Aventador SVJ,Modern Exotic GT,Factory,Europe,Italy
3292,Dodge #9 C,2019,Dodge,#9 American V8 Road Racing TA Challenger,Forza T/A,Race,N. America,U.S.
3293,Jag. XJ220S '93,1993,Jaguar,XJ220S TWR,Exotic GT Classics,Factory,Europe,U.K.
3298,,1981,Porsche,#1 Porsche System Engineering 924 GTP Le Mans,GTX Sportscars,Race,Europe,Germany
3301,Lotus #12 98T,1986,Lotus,#12 Team Lotus 98T,Grand Prix Rivals,Race,Europe,U.K.
3307,Nissan 370Z N 19,2019,Nissan,370Z Nismo,Modern Sport Coupe,Factory,Asia,Japan
3309,Lotus Type 40,1965,Lotus,#1 Team Lotus Type 40,Vintage Le Mans Prototypes,Race,Europe,U.K.
3310,Olds #75 Cutlass,1990,Oldsmobile,#75 Cutlass Supreme Trans Am,GTX Sportscars,Race,N. America,U.S.
3311,Ferrari FXX-K E,2018,Ferrari,FXX-K Evo,Modern Factory Racecars,Race,Europe,Italy
3312,Ferrari Monza 19,2019,Ferrari,Monza SP2,Modern Exotic GT,Factory,Europe,Italy
3315,Koe. Jesko '20,2020,Koenigsegg,Jesko,Modern Hypercars,Factory,Europe,Sweden
3316,Buick #6 Regal,1985,Buick,#6 Performance Motorsports Somerset Regal Trans-Am,GTX Sportscars,Race,N. America,U.S.
3318,Audi RS 4 '18,2018,Audi,RS 4 Avant,Modern Sport Touring,Factory,Europe,Germany
3320,DaVinci,2019,Italdesign,DaVinci Concept,GT Cars,Factory,Europe,Italy
3334,Elemental Rp1 19,2019,Elemental,RP1,Track Toys,Factory,Europe,U.K.
3338,Nissan #24 R88C,1988,Nissan,#24 Nissan Motorsports International R88C,GTP/C,Race,Asia,Japan
3359,Audi RS e-tron,2021,Audi,RS e-tron GT,Sport Luxury,Factory,Europe,Germany
3360,Battista '20,2020,Automobili Pininfarina,Battista,Modern Hypercars,Factory,Europe,Italy
3362,Nis. #23 Silvia,1983,Nissan,#23 Nissan Motorsports Silvia Super Silhouette,GTX Sportscars,Race,Asia,Japan
3363,Nis. #23 GT-R,1998,Nissan,#23 Pennzoil NISMO Skyline GT-R,GTX Sportscars,Race,Asia,Japan
3364,AM Valhalla '19,2019,Aston Martin,Valhalla Concept Car,Modern Hypercars,Factory,Europe,U.K.
3365,Ligier #11 JS P3,2016,Ligier,#11 Euro International JS P3,Forza P3,Race,Europe,France
3366,NIO EP9 '16,2016,NIO,EP9,Modern Hypercars,Factory,Asia,China
3367,Ferrari F8 T '19,2019,Ferrari,F8 Tributo,Modern Exotic GT,Factory,Europe,Italy
3369,Chev. C8 '20,2020,Chevrolet,Corvette Stingray Coupe,Modern Sport GT,Factory,N. America,U.S.
3371,L. Huracán E '20,2020,Lamborghini,Huracán EVO,Modern Sport GT,Factory,Europe,Italy
3373,Toyota 4Runner,2019,Toyota,4Runner TRD Pro,Pickups & 4x4s,Factory,Asia,Japan
3374,Toyota Tacoma,2019,Toyota,Tacoma TRD Pro,Pickups & 4x4s,Factory,Asia,Japan
3392,,2001,Formula Drift,#215 Nissan Silvia Spec-R,Formula Drift,Race,N. America,U.S.
3395,Ren. 8 G '67,1967,Renault,8 Gordini,Vintage Sport Compact,Factory,Europe,France
3402,Toyota Supra '20,2020,Toyota,GR Supra,Modern Sport Coupe,Factory,Asia,Japan
3403,Renault #15 RS01,1977,Renault,#15 Equipe Renault Elf R.S. 01,Formula 70s,Race,Europe,France
3411,,1995,Formula Drift,#34 Toyota Supra MKIV,Formula Drift,Race,N. America,U.S.
3412,SUBARU STI '19,2019,SUBARU,STI S209,Modern Sport Compact,Factory,Asia,Japan
3413,VW Golf R '21,2021,Volkswagen,Golf R,Modern Hot Hatch,Factory,Europe,Germany
3418,Toyota 86 '19,2019,Toyota,86 TRD SE,Modern Sport Compact,Factory,Asia,Japan
3419,Toyota Tundra,2020,Toyota,Tundra TRD Pro,Pickups & 4x4s,Factory,Asia,Japan
3420,Acura #6 ARX-05,2020,Acura,#6 ARX-05 DPi,Forza Proto-H,Race,N. America,U.S.
3427,Ginetta G55 GT4,2019,Ginetta,G55 GT4,Forza GT4,Race,Europe,U.K.
3429,Ginetta G40 Jr,2019,Ginetta,G40 Junior,G40 Junior Spec,Race,Europe,U.K.
3434,BMW M2 '20,2020,BMW,M2 Competition Coupé,Modern Sport Coupe,Factory,Europe,Germany
3435,Chev #77 Beretta,1988,Chevrolet,#77 Beretta Trans Am,GTX Sportscars,Race,N. America,U.S.
3436,Ford #15 Mustang,1970,Ford,#15 Mustang Boss 302 Trans Am,Vintage Trans Am,Race,N. America,U.S.
3437,McL. GT '20,2020,McLaren,GT,Modern Exotic GT,Factory,Europe,U.K.
3438,,1961,DeBerti,Ford Econoline 'Shop Rod',Rods and Customs,Tuner,N. America,U.S.
3439,DeBerti F-250,2019,DeBerti,Ford Super Duty F-250 Lariat 'Transformer',Unlimited Offroad,Tuner,N. America,U.S.
3445,P. Taycan '20,2020,Porsche,Taycan Turbo S,Sport Luxury,Factory,Europe,Germany
3449,Lotus Evija '20,2020,Lotus,Evija,Modern Exotic GT,Factory,Europe,U.K.
3453,Audi TT RS '20,2020,Audi,TT RS Coupe,Modern Sport Coupe,Factory,Europe,Germany
3454,Audi RS 3 '20,2020,Audi,RS 3 Sedan,Modern Sport Coupe,Factory,Europe,Germany
3457,Lexus #14 RC F,2020,Lexus,#14 VASSER SULLIVAN RC F GT3,Forza GT3,Race,N. America,U.S.
3460,Ginetta #6 G60,2019,Ginetta,#6 Team LNT Ginetta G60-LT-P1,Forza P1,Race,Europe,U.K.
3477,,2020,Chevrolet,Silverado LT Trail Boss,Pickups & 4x4s,Factory,N. America,U.S.
3482,McL. 765 '21,2021,McLaren,765LT Coupe,Modern Sport GT,Factory,Europe,U.K.
3490,Chev. #3 C8,2020,Chevrolet,#3 Corvette Racing C8.R,Forza GT2,Race,N. America,U.S.
3492,KTM X-Bow GT2,2020,KTM,X-Bow GT2,Modern Factory Racecars,Race,Europe,Austria
3497,Nissan #23 R391,1999,Nissan,#23 NISMO Clarion R391,Early LMP,Race,Asia,Japan
3498,Saleen S7 LM,2017,Saleen,S7 LM,Modern Exotic GT,Factory,N. America,U.S.
3499,Sportruck XR,2020,Saleen,Sportruck XR Black Label,Pickups & 4x4s,Factory,N. America,U.S.
3506,#1 Porsche 911,1974,Porsche,#1 911 RSR,GTX Sportscars,Race,Europe,Germany
3517,Brabham BT8,1964,Brabham,BT8,Vintage Le Mans Sportscars,Race,Europe,U.K.
3518,BMW M8 '20,2020,BMW,M8 Competition Coupé,Sport Luxury,Factory,Europe,Germany
3520,Lexus LC 500 '21,2021,Lexus,LC 500,Sport Luxury,Factory,N. America,U.S.
3521,,1984,Toyota,#25 Horsepower Techs Starlet Time Attack,Forza Specials,Race,Asia,Japan
3523,FD #151 GR Supra,2020,Formula Drift,#151 Toyota GR Supra,Formula Drift,Race,N. America,U.S.
3529,Datsun 280Z,1975,Forsberg Racing,"Nissan ""Gold Leader"" Datsun 280Z",Formula Drift,Race,N. America,U.S.
3530,Altimaniac,2021,Forsberg Racing,Nissan 'Altimaniac',Drift Cars,Race,N. America,U.S.
3532,#98 Veloster,2020,Hyundai,#98 Bryan Herta Autosport Veloster N,Forza Touring Cars,Race,Asia,Korea
3533,VW Golf R '22,2022,Volkswagen,Golf R,Modern Hot Hatch,Factory,Europe,Germany
3534,MINI JCW GP '21,2021,MINI,John Cooper Works GP,Modern Hot Hatch,Factory,Europe,U.K.
3537,MG #20 MG6,2020,MG,#20 MG6 XPower,Forza Touring Cars,Race,Europe,U.K.
3541,Chevron B16,1964,Chevron,B16,Vintage Le Mans Prototypes,Race,Europe,U.K.
3543,Pagani Huayra 22,2022,Pagani,Huayra R,Modern Factory Racecars,Race,Europe,Italy
3545,Honda #73 Civic,2020,Honda,#73 LA Honda World Racing Civic,Forza Touring Cars,Race,Asia,Japan
3546,Lexus RC F T '20,2020,Lexus,RC F Track Edition,Modern Sport Coupe,Factory,N. America,U.S.
3547,Xpeng P7 '20,2020,Xpeng,P7,Modern Sport Touring,Factory,Asia,China
3548,Wuling Sunshine,2013,Wuling,Sunshine S,Vans & Utility,Factory,Asia,China
3549,#122 AC Class 1,2021,Alumi Craft,#122 Class 1 Buggy,Unlimited Buggies,Race,N. America,U.S.
3551,#91 BMW M2,2020,Formula Drift,#91 BMW M2,Formula Drift,Race,N. America,U.S.
3552,Lynk #62 03,2020,Lynk & Co,#62 Cyan Racing 03,Forza Touring Cars,Race,Asia,China
3554,,2005,Mitsubishi,#1 Sierra Sierra Enterprises Lancer Evolution Time Attack,Forza Specials,Race,Asia,Japan
3556,BMW X5M FE,2011,BMW,X5 M Forza Edition,Extreme Track Toys,Upgraded,Europe,Germany
3559,Corvette '53 FE,1953,Chevrolet,Corvette Forza Edition,Classic Racers,Upgraded,N. America,U.S.
3580,AM DBX '21,2021,Aston Martin,DBX,Sports Utility Heroes,Factory,Europe,U.K.
3583,Audi RS 6 '21,2021,Audi,RS 6 Avant,Sport Luxury,Factory,Europe,Germany
3584,Audi RS 7 '21,2021,Audi,RS 7 Sportback,Sport Luxury,Factory,Europe,Germany
3590,Chevy K10 '72,1972,Chevrolet,K10 Custom,Pickups & 4x4s,Factory,N. America,U.S.
3594,Ferrari Roma '20,2020,Ferrari,Roma,Modern Exotic GT,Factory,Europe,Italy
3595,Ferrari SF90 '20,2020,Ferrari,SF90 Stradale,Modern Exotic GT,Factory,Europe,Italy
3597,Ford F-150 '86,1986,Ford,F-150 XLT Lariat,Pickups & 4x4s,Factory,N. America,U.S.
3599,GMA T.50,2022,Gordon Murray Automotive,T.50,Modern Exotic GT,Factory,Europe,U.K.
3603,#4402 Ultra 4,2019,Casey Currie Motorsports,#4402 Ultra 4 'Trophy Jeep',Unlimited Offroad,Race,N. America,U.S.
3606,L. Essenza SCV12,2020,Lamborghini,Essenza SCV12,Modern Factory Racecars,Factory,Europe,Italy
3616,M-AMG GT '20,2020,Mercedes-AMG,GT Black Series,Modern Sport GT,Factory,Europe,Germany
3620,Nissan Z '23,2023,Nissan,Z,Modern Sport Coupe,Factory,Asia,Japan
3622,Nissan GT-R N 20,2020,Nissan,GT-R NISMO (R35),Modern Sport GT,Factory,Asia,Japan
3625,Rimac Nevera '21,2021,Rimac,Nevera,Modern Hypercars,Factory,Europe,Croatia
3629,,2021,Toyota,GR Yaris,Modern Hot Hatch,Factory,Asia,Japan
3631,AM AMR Pro '22,2022,Aston Martin,Valkyrie AMR Pro,Modern Factory Racecars,Race,Europe,U.K.
3633,L. Sián '19,2019,Lamborghini,Sián FKP 37,Modern Hypercars,Factory,Europe,Italy
3644,BMW M3 '21,2021,BMW,M3 Competition Sedan,Modern Sport Touring,Factory,Europe,Germany
3645,BMW M4 '21,2021,BMW,M4 Competition Coupé,Modern Sport Touring,Factory,Europe,Germany
3650,M-AMG ONE '21,2021,Mercedes-AMG,Mercedes-AMG ONE,Modern Hypercars,Factory,Europe,Germany
3652,,2020,Oreca,#38 Performance Tech Motorsports Oreca 07,Forza P2,Race,Europe,France
3655,McL. 620 '21,2021,McLaren,620R,Modern Sport GT,Factory,Europe,U.K.
3657,Rivian R1T,2022,Rivian,R1T,Pickups & 4x4s,Factory,N. America,U.S.
3658,Rivian R1S,2022,Rivian,R1S,Sports Utility Heroes,Factory,N. America,U.S.
3662,#37 Pro 4 Truck,2021,RJ Anderson,#37 Polaris RZR Pro 4 Truck,Unlimited Offroad,Race,N. America,U.S.
3667,P. 911 GT3 '21,2021,Porsche,911 GT3,Modern Sport GT,Factory,Europe,Germany
3668,McL. Artura '23,2023,McLaren,Artura,Modern Exotic GT,Factory,Europe,U.K.
3669,Cadillac #31 Dpi,2021,Cadillac,#31 Whelen Racing DPi-V.R,Forza Proto-H,Race,N. America,U.S.
3672,L. Huracán S '20,2020,Lamborghini,Huracán STO,Modern Sport GT,Factory,Europe,Italy
3673,Lambo SC20,2020,Lamborghini,SC20,Hypercars,Factory,Europe,Italy
3676,#98 Elantra,2021,Hyundai,#98 Bryan Herta Autosport Elantra N,Forza Touring Cars,Race,Asia,Korea
3677,Lynk 03 '21,2021,Lynk & Co,03+,Modern Sport Compact,Factory,Asia,China
3678,,2020,Hyundai,i30 N,Modern Hot Hatch,Factory,Asia,Korea
3681,Supra '98 WP,1998,Toyota,Supra RZ 'Welcome Pack',Retro Sports Cars,Upgraded,Asia,Japan
3682,Apollo IE WP,2018,Apollo,Intensa Emozione 'Welcome Pack',Extreme Track Toys,Upgraded,Europe,Germany
3686,RZR Racing,2021,Polaris,RZR Pro XP Factory Racing Limited Edition,UTV's,Race,N. America,U.S.
3689,MG MG6 '21,2021,MG,MG6 XPower,Modern Sport Touring,Factory,Europe,U.K.
3693,#6165 Truck,2022,Alumi Craft,#6165 Trick Truck,Unlimited Offroad,Race,N. America,U.S.
3696,Shelby GT500 '67,1967,Shelby,GT 500,Vintage Muscle,Factory,N. America,U.S.
3698,Porsche MissionR,2021,Porsche,Mission R,Mission R Spec,Race,Europe,Germany
3700,McL. Sabre '21,2021,McLaren,Sabre,Modern Hypercars,Factory,Europe,U.K.
3706,HW Trans Am,1970,Hot Wheels,Pontiac Firebird Trans Am Custom,Track Toys,Tuner,N. America,U.S.
3716,Lotus Emira '23,2023,Lotus,Emira,Modern Sport GT,Factory,Europe,U.K.
3719,Cadillac CT4 '22,2022,Cadillac,CT4-V Blackwing,Modern Sport Touring,Factory,N. America,U.S.
3720,Cadillac CT5 '22,2022,Cadillac,CT5-V Blackwing,Modern Sport Touring,Factory,N. America,U.S.
3722,HUMMER EV Truck,2022,GMC,HUMMER EV Pickup,Pickups & 4x4s,Factory,N. America,U.S.
3724,Ferrari 296 GTB,2022,Ferrari,296 GTB,Modern Sport GT,Factory,Europe,Italy
3734,BMW i4 '22,2022,BMW,i4 eDrive40,Super Saloons,Factory,Europe,Germany
3735,SUBARU BRZ '22,2022,SUBARU,BRZ,Modern Sport Compact,Factory,Asia,Japan
3736,,2022,Ford,Bronco Raptor,Pickups & 4x4s,Factory,N. America,U.S.
3737,BMW iX '22,2022,BMW,iX xDrive50,Sports Utility Heroes,Factory,Europe,Germany
3741,#51 Nissan 240SX,1996,Formula Drift,#51 Donut Media Nissan 240SX,Drift Cars,Race,N. America,U.S.
3742,350Z Hi Car,2003,Nissan,Donut Media 350Z 'Hi Car',Track Toys,Tuner,N. America,U.S.
3743,350Z Low Car,2004,Nissan,Donut Media 350Z 'Low Car',Track Toys,Tuner,N. America,U.S.
3744,#64 Nissan Z,2023,Formula Drift,#64 Forsberg Racing Nissan Z,Drift Cars,Race,N. America,U.S.
3745,Audi R8 '20,2020,Audi,R8 V10 performance,Modern Sport GT,Factory,Europe,Germany
3746,Formentor '22,2022,CUPRA,Formentor VZ5,Sports Utility Heroes,Factory,Europe,Spain
3747,Tavascan '22,2022,CUPRA,Tavascan Concept,Sports Utility Heroes,Factory,Europe,Spain
3753,Huracán Tecnica,2023,Lamborghini,Huracán Tecnica,Modern Supercars,Factory,Europe,Italy
3757,,2024,Czinger,21C,Extreme Track Toys,Factory,N. America,U.S.
3759,Huracán Spyder,2022,Lamborghini,Huracán EVO Spyder,Modern Sport GT,Factory,Europe,Italy
3760,P. 718 GT4 '22,2022,Porsche,718 Cayman GT4 RS,Modern Sport Coupe,Factory,Europe,Germany
3761,Toyota GR86 '22,2022,Toyota,GR86,Modern Sport Compact,Factory,Asia,Japan
3762,#97 Vantage GTE,2018,Aston Martin,#97 AMR Vantage GTE,Forza GT2,Race,Europe,U.K.
3763,BMW M2 '23,2023,BMW,M2,Modern Sport Coupe,Factory,Europe,Germany
3766,Chev. C8 Z06 '23,2023,Chevrolet,Corvette Z06,Modern Sport GT,Factory,N. America,U.S.
3767,,2022,Acura,NSX Type S,Modern Sport GT,Factory,N. America,U.S.
3771,Chev. E-Ray '24,2024,Chevrolet,Corvette E-Ray,Modern Sport GT,Factory,N. America,U.S.
3774,,2021,Lamborghini,Countach LPI 800-4,Modern Hypercars,Factory,Europe,Italy
3781,,2023,Porsche,911 GT3 RS,Modern Sport GT,Factory,Europe,Germany
3792,Cadillac #31 LM,2023,Cadillac,#31 Whelen Engineering Cadillac Racing V-Series.R,Forza Proto-H,Livery,N. America,U.S.
3795,,2023,Meyers,Manx 2.0,Buggies,Factory,N. America,U.S.
3798,Mazda MX-5 C '17,2017,Mazda,MX-5 Cup,Forza Specials,Race,Asia,Japan
3800,Chev. C8 FE '20,2020,Chevrolet,Corvette Stingray Coupe Forza Edition,Modern Sport GT,Upgraded,N. America,U.S.
3801,Chev. Camaro FE,2018,Chevrolet,Camaro ZL1 1LE Forza Edition,Modern Sport Touring,Upgraded,N. America,U.S.
3802,Veloster FE '19,2019,Hyundai,Veloster N Forza Edition,Modern Hot Hatch,Upgraded,Asia,Korea
3803,M-AMG C 63 FE,2016,Mercedes-AMG,C 63 S Coupé Forza Edition,Modern Sport Touring,Upgraded,Europe,Germany
3804,SUBARU STI FE,2019,SUBARU,STI S209 Forza Edition,Modern Sport Compact,Upgraded,Asia,Japan
3807,Porsche 911 FE,2018,Porsche,911 GT2 RS Forza Edition,Modern Sport GT,Upgraded,Europe,Germany
3808,Barbie Corvette,1956,Chevrolet,Barbie Movie' Corvette EV,Rods and Customs,Tuner,N. America,U.S.
3809,Barbie HUMMER EV,2022,GMC,Barbie Movie' HUMMER EV PICKUP,Pickups & 4x4s,Livery,N. America,U.S.
3810,,2010,Nissan,Tsuru,Retro Saloons,Factory,Asia,Japan
3811,,2023,Lucid,Air Sapphire,Super Saloons,Factory,N. America,U.S.
3823,,2022,Mazda,MX-5 Miata RF,Modern Sport Compact,Factory,Asia,Japan
3827,,2023,Hyundai,IONIQ 5 N,Modern Hot Hatch,Factory,Asia,Korea
3832,FAF 240Z,1973,Fast and Furious,Datsun 240Z 'Fast X',Classic Sports Cars,Tuner,N. America,U.S.
3835,FAF Impala,1966,Fast and Furious,Chevrolet Impala Super Sport 'Fast X',Track Toys,Tuner,N. America,U.S.
3836,FAF Hellcat,2022,Fast and Furious,Dodge Charger SRT Hellcat Redeye Widebody 'Fast X',Modern Muscle,Tuner,N. America,U.S.
3837,FAF Charger,1970,Fast and Furious,Dodge Charger 'Fast X',Classic Muscle,Tuner,N. America,U.S.
3838,FAF Flip Car,2022,Fast and Furious,Flip Car 2.0 'Fast X',Track Toys,Tuner,N. America,U.S.
3846,Ford Mustang '24,2024,Ford,Mustang GT,Modern Sport Touring,Factory,N. America,U.S.
3847,Ford Dark Horse,2024,Ford,Mustang Dark Horse,Modern Sport Touring,Factory,N. America,U.S.
3847,NASCAR Mustang,2024,Ford,NASCAR Next Gen Mustang Dark Horse,NASCAR,Race,N. America,U.S.
3848,Toyota Camry '23,2023,Toyota,Camry TRD,Modern Sport Compact,Factory,Asia,Japan
3862,Elantra N '22,2022,Hyundai,Elantra N,Modern Sport Compact,Factory,Asia,Korea
3866,Cadillac #01 LM,2023,Cadillac,#01 Cadillac Racing V-Series.R,Forza Proto-H,Race,N. America,U.S.
3867,Cadillac #2 LM,2023,Cadillac,#2 Cadillac Racing V-Series.R,Forza Proto-H,Livery,N. America,U.S.
3868,#88 Mustang RTR,2024,Ford,#88 Mustang RTR,Formula Drift,Livery,N. America,U.S.
3870,#25 Mustang RTR,2024,Ford,#25 Mustang RTR,Formula Drift,Race,N. America,U.S.
3874,,2024,Lamborghini,SC63,Forza Proto-H,Factory,Europe,Italy
3876,#5 Porsche 963,2024,Porsche,#5 Porsche Penske Motorsport 963,Forza Proto-H,Race,Europe,Germany
3886,Mit. Evo III '95,1995,Mitsubishi,Lancer Evolution III GSR,Early Sport Compact,Factory,Asia,Japan
3888,#1 3.0 CSL '76,1976,BMW,#1 BMW 3.0 CSL,GTX Sportscars,Livery,Europe,Germany
3891,,2024,Lamborghini,Revuelto,Modern Exotic GT,Factory,Europe,Italy
3906,,2020,Lotus,Evora GT430,Modern Sport Coupe,Factory,Europe,U.K.
3913,#25 M Hybrid '23,2023,BMW,#25 BMW Team RLL M Hybrid V8,Forza Proto-H,Race,Europe,Germany
3915,,1997,Toyota,Mark II Tourer V JXZ100,Sport Touring Classics,Factory,Asia,Japan
3916,#130 Mustang RTR,2024,Ford,#130 Mustang RTR,Formula Drift,Race,N. America,U.S.
3919,#96 BMW M4 GT3,2023,BMW,#96 Turner Motorsports M4 GT3,Forza GT3,Race,Europe,Germany
3921,,2024,Nissan,Z NISMO,Modern Sport Coupe,Factory,Asia,Japan
3928,Hyundai i20 N,2021,Hyundai,i20 N,Modern Hot Hatch,Factory,Asia,Korea
3951,,2023,Porsche,911 GT3 R,Forza GT3,Race,Europe,Germany
3953,,2023,Porsche,911 Turbo S,Modern Sport GT,Factory,Europe,Germany
3972,Camaro JL3,1969,Chevrolet,Camaro Jordan Luka 3 Motorsport Edition,Vintage Muscle,Tuner,N. America,U.S.
3993,NASCAR Camry,2024,Toyota,NASCAR Next Gen Camry XSE,NASCAR,Race,Asia,Japan
3994,NASCAR Camaro,2024,Chevrolet,NASCAR Next Gen Camaro ZL1,NASCAR,Race,N. America,U.S.
4026,,2024,Ford,Mustang GT3,Forza GT3,Race,N. America,U.S.
9007,Supervan 3 DME,1994,Ford,Supervan 3 'Donut Media Edition',Track Toys,Tuner,N. America,U.S.
